Title,Year,Rating,Votes
158. Howl's Moving Castle,2004,8.2,454
159. Rashomon,1950,8.2,182
160. The Elephant Man,1980,8.2,260
161. Dial M for Murder,1954,8.2,190
162. Chinatown,1974,8.1,352
163. Gone with the Wind,1939,8.2,336
"164. Lock, Stock and Two Smoking Barrels",1998,8.1,619
165. V for Vendetta,2005,8.2,1.2
166. The Secret in Their Eyes,2009,8.2,224
167. Inside Out,2015,8.1,801
168. Raging Bull,1980,8.1,382
"169. Three Billboards Outside Ebbing, Missouri",2017,8.1,559
170. Trainspotting,1996,8.1,729
171. The Bridge on the River Kwai,1957,8.1,234
172. Klaus,2019,8.2,192
173. Fargo,1996,8.1,731
174. Catch Me If You Can,2002,8.1,1.1
175. Spider-Man: No Way Home,2021,8.2,890
176. Warrior,2011,8.1,500
177. Gran Torino,2008,8.1,818
178. Harry Potter and the Deathly Hallows: Part 2,2011,8.1,955
179. My Neighbor Totoro,1988,8.1,384
180. Million Dollar Baby,2004,8.1,725
181. Children of Heaven,1997,8.2,81
182. 12 Years a Slave,2013,8.1,744
183. Blade Runner,1982,8.1,827
184. Ben-Hur,1959,8.1,255
185. Before Sunrise,1995,8.1,342
186. Barry Lyndon,1975,8.1,184
187. The Grand Budapest Hotel,2014,8.1,892
188. Mad Max: Fury Road,2015,8.1,1.1
189. Gone Girl,2014,8.1,1.1
190. Hacksaw Ridge,2016,8.1,601
191. Dead Poets Society,1989,8.1,552
192. The Gold Rush,1925,8.1,119
193. Memories of Murder,2003,8.1,219
194. In the Name of the Father,1993,8.1,188
195. Wild Tales,2014,8.1,218
"196. Monsters, Inc.",2001,8.1,986
197. The Deer Hunter,1978,8.1,364
198. The General,1926,8.1,99
199. On the Waterfront,1954,8.1,166
200. Sherlock Jr.,1924,8.2,58
201. How to Train Your Dragon,2010,8.1,806
202. Jaws,1975,8.1,665
203. Mary and Max,2009,8.1,188
204. The Third Man,1949,8.1,183
205. The Wages of Fear,1953,8.1,67
206. Ratatouille,2007,8.1,834
207. Wild Strawberries,1957,8.1,116
